guests,Price_Night,Value_rate,amenities_count
4.0,89.0,4.8,37.0
2.0,150.0,4.8,32.0
2.0,158.0,4.9,39.0
2.0,119.0,4.8,29.0
4.0,254.0,4.6,27.0
2.0,118.0,5.0,34.0
6.0,152.0,4.7,57.0
2.0,121.0,4.9,43.0
2.0,94.0,4.9,60.0
2.0,275.0,4.6,25.0
2.0,235.0,4.7,32.0
2.0,70.0,4.9,28.0
2.0,102.0,4.8,40.0
2.0,106.0,4.8,32.0
2.0,105.0,4.9,21.0
1.0,128.0,4.7,39.0
6.0,211.0,4.7,34.0
2.0,102.0,4.8,25.0
2.0,133.0,5.0,53.0
1.0,90.0,4.8,30.0
2.0,96.0,4.9,52.0
4.0,49.0,4.8,42.0
5.0,170.0,4.9,34.0
2.0,44.0,4.8,20.0
4.0,119.0,4.9,27.0
8.0,245.0,4.1,33.0
2.0,92.0,4.7,37.0
2.0,125.0,4.9,31.0
1.0,115.0,4.9,52.0
2.0,72.0,4.9,24.0
2.0,104.0,4.9,34.0
2.0,133.0,4.8,30.0
2.0,60.0,4.9,30.0
2.0,58.0,4.9,43.0
2.0,106.0,4.7,20.0
2.0,119.0,4.7,23.0
4.0,159.0,4.6,40.0
2.0,80.0,4.9,22.0
2.0,73.0,4.9,42.0
2.0,59.0,5.0,28.0
2.0,83.0,4.9,18.0
2.0,75.0,4.9,29.0
2.0,100.0,4.9,28.0
1.0,61.0,4.9,40.0
3.0,86.0,4.9,46.0
2.0,79.0,4.7,43.0
4.0,88.0,4.9,55.0
2.0,84.0,4.8,38.0
2.0,109.0,4.9,40.0
6.0,91.0,4.8,31.0
2.0,45.0,4.9,44.0
8.0,116.0,4.8,39.0
4.0,143.0,4.7,25.0
2.0,105.0,4.8,48.0
5.0,131.0,4.9,32.0
4.0,138.0,4.8,26.0
4.0,59.0,4.9,25.0
2.0,88.0,4.7,41.0
5.0,61.0,4.8,36.0
8.0,249.0,4.8,37.0
2.0,75.0,4.9,41.0
2.0,72.0,5.0,33.0
2.0,120.0,4.9,35.0
4.0,104.0,4.9,28.0
4.0,550.0,4.7,34.0
2.0,81.0,4.8,38.0
8.0,228.0,4.8,24.0
4.0,70.0,4.8,23.0
4.0,108.0,4.9,47.0
